etiqueta,Gamma_top_meV,Gamma_c_meV,min_abs_E_meV,gap_excitado_meV,peso_borde_izq,peso_borde_der,peso_bordes,convergido_Hartree,iteraciones_Hartree,N,L_nm
sSC=7 nm,6.20000000e-01,3.39671797e-01,4.41298066e-06,9.19608577e-02,3.12258762e-01,3.12258762e-01,6.24517524e-01,True,54,401,4000.0000
base,6.20000000e-01,3.39564133e-01,4.57058642e-06,9.19730970e-02,3.09357122e-01,3.09357122e-01,6.18714243e-01,True,54,401,4000.0000
sSC=45 nm,6.20000000e-01,3.39375726e-01,5.11511509e-06,9.20152441e-02,2.96505236e-01,2.96505236e-01,5.93010473e-01,True,54,401,4000.0000
