etiqueta,Gamma_top_meV,Gamma_c_meV,min_abs_E_meV,gap_excitado_meV,peso_borde_izq,peso_borde_der,peso_bordes,convergido_Hartree,iteraciones_Hartree,N,L_nm
asimetria izquierda,6.20000000e-01,3.39564133e-01,4.56923253e-06,9.19723833e-02,3.09347211e-01,3.09368558e-01,6.18715769e-01,True,54,401,4000.0000
base,6.20000000e-01,3.39564133e-01,4.57058642e-06,9.19730970e-02,3.09357122e-01,3.09357122e-01,6.18714243e-01,True,54,401,4000.0000
asimetria derecha,6.20000000e-01,3.39564133e-01,4.56923253e-06,9.19723833e-02,3.09368558e-01,3.09347211e-01,6.18715769e-01,True,54,401,4000.0000
