etiqueta,Gamma_top_meV,Gamma_c_meV,min_abs_E_meV,gap_excitado_meV,peso_borde_izq,peso_borde_der,peso_bordes,convergido_Hartree,iteraciones_Hartree,N,L_nm
xSC=20 nm,6.20000000e-01,3.39473821e-01,3.65254152e-06,9.18971400e-02,3.25408723e-01,3.25408723e-01,6.50817446e-01,True,54,401,4000.0000
base,6.20000000e-01,3.39564133e-01,4.57058642e-06,9.19730970e-02,3.09357122e-01,3.09357122e-01,6.18714243e-01,True,54,401,4000.0000
xSC=160 nm,6.20000000e-01,3.39535223e-01,5.15473191e-06,9.21048281e-02,1.54688065e-01,1.54688065e-01,3.09376130e-01,True,54,401,4000.0000
