etiqueta,Gamma_top_meV,Gamma_c_meV,min_abs_E_meV,gap_excitado_meV,peso_borde_izq,peso_borde_der,peso_bordes,convergido_Hartree,iteraciones_Hartree,N,L_nm
Gamma=0.52 meV,5.20000000e-01,3.39558240e-01,1.21479526e-06,9.09438659e-02,3.69164182e-01,3.69164182e-01,7.38328364e-01,True,54,401,4000.0000
base,6.20000000e-01,3.39564133e-01,4.57058642e-06,9.19730970e-02,3.09357122e-01,3.09357122e-01,6.18714243e-01,True,54,401,4000.0000
Gamma=0.78 meV,7.80000000e-01,3.39573411e-01,1.28346922e-05,8.57376318e-02,2.46462958e-01,2.46462958e-01,4.92925915e-01,True,54,401,4000.0000
