etiqueta,Gamma_top_meV,Gamma_c_meV,min_abs_E_meV,gap_excitado_meV,peso_borde_izq,peso_borde_der,peso_bordes,convergido_Hartree,iteraciones_Hartree,N,L_nm
T=0.005 K,6.20000000e-01,3.39563892e-01,4.56860645e-06,9.19743579e-02,3.09361115e-01,3.09361115e-01,6.18722230e-01,True,54,401,4000.0000
base,6.20000000e-01,3.39564133e-01,4.57058642e-06,9.19730970e-02,3.09357122e-01,3.09357122e-01,6.18714243e-01,True,54,401,4000.0000
T=0.08 K,6.20000000e-01,3.39564745e-01,4.57563835e-06,9.19698780e-02,3.09346968e-01,3.09346968e-01,6.18693936e-01,True,54,401,4000.0000
