etiqueta,Gamma_top_meV,Gamma_c_meV,min_abs_E_meV,gap_excitado_meV,peso_borde_izq,peso_borde_der,peso_bordes,convergido_Hartree,iteraciones_Hartree,N,L_nm
L=3000 nm,6.20000000e-01,3.39374315e-01,1.34257097e-04,9.57853203e-02,2.87414276e-01,2.87414276e-01,5.74828553e-01,True,54,401,3000.0000
base,6.20000000e-01,3.39564133e-01,4.57058642e-06,9.19730970e-02,3.09357122e-01,3.09357122e-01,6.18714243e-01,True,54,401,4000.0000
L=5000 nm,6.20000000e-01,3.39701262e-01,6.15537123e-07,9.02117038e-02,3.52579715e-01,3.52579715e-01,7.05159430e-01,True,54,401,5000.0000
