etiqueta,Gamma_top_meV,Gamma_c_meV,min_abs_E_meV,gap_excitado_meV,peso_borde_izq,peso_borde_der,peso_bordes,convergido_Hartree,iteraciones_Hartree,N,L_nm
lambda=25 nm,6.20000000e-01,3.39624717e-01,4.61454915e-06,9.19845379e-02,3.09555847e-01,3.09555847e-01,6.19111695e-01,True,54,401,4000.0000
base,6.20000000e-01,3.39564133e-01,4.57058642e-06,9.19730970e-02,3.09357122e-01,3.09357122e-01,6.18714243e-01,True,54,401,4000.0000
lambda=85 nm,6.20000000e-01,3.39464686e-01,4.47231478e-06,9.19505194e-02,3.09030829e-01,3.09030829e-01,6.18061658e-01,True,54,401,4000.0000
