etiqueta,Gamma_top_meV,Gamma_c_meV,min_abs_E_meV,gap_excitado_meV,peso_borde_izq,peso_borde_der,peso_bordes,convergido_Hartree,iteraciones_Hartree,N,L_nm
mu=0.08 meV,6.20000000e-01,3.22733299e-01,1.42873792e-05,9.03086460e-02,3.13441572e-01,3.13441572e-01,6.26883144e-01,True,54,401,4000.0000
base,6.20000000e-01,3.39564133e-01,4.57058642e-06,9.19730970e-02,3.09357122e-01,3.09357122e-01,6.18714243e-01,True,54,401,4000.0000
mu=0.18 meV,6.20000000e-01,3.71518633e-01,1.44700796e-06,9.44922925e-02,3.05149994e-01,3.05149994e-01,6.10299988e-01,True,54,401,4000.0000
