etiqueta,Gamma_top_meV,Gamma_c_meV,min_abs_E_meV,gap_excitado_meV,peso_borde_izq,peso_borde_der,peso_bordes,convergido_Hartree,iteraciones_Hartree,N,L_nm
N=251,6.20000000e-01,3.39658490e-01,9.15077521e-06,9.17078358e-02,3.03149965e-01,3.03149965e-01,6.06299931e-01,True,54,251,4000.0000
N=401,6.20000000e-01,3.39564133e-01,4.57058642e-06,9.19730970e-02,3.09357122e-01,3.09357122e-01,6.18714243e-01,True,54,401,4000.0000
N=601,6.20000000e-01,3.39527413e-01,2.09754318e-06,9.20537932e-02,3.10448425e-01,3.10448425e-01,6.20896849e-01,True,54,601,4000.0000
