etiqueta,Gamma_top_meV,Gamma_c_meV,min_abs_E_meV,gap_excitado_meV,peso_borde_izq,peso_borde_der,peso_bordes,convergido_Hartree,iteraciones_Hartree,N,L_nm
gamma0=0.20 meV,6.20000000e-01,2.55637941e-01,3.89974005e-04,7.87221618e-02,2.19886671e-01,2.19886671e-01,4.39773342e-01,True,54,401,4000.0000
base,6.20000000e-01,3.39564133e-01,4.57058642e-06,9.19730970e-02,3.09357122e-01,3.09357122e-01,6.18714243e-01,True,54,401,4000.0000
gamma0=0.45 meV,6.20000000e-01,4.77176769e-01,2.94038404e-08,5.77312840e-02,4.30636680e-01,4.30636678e-01,8.61273358e-01,True,54,401,4000.0000
