etiqueta,Gamma_top_meV,Gamma_c_meV,min_abs_E_meV,gap_excitado_meV,peso_borde_izq,peso_borde_der,peso_bordes,convergido_Hartree,iteraciones_Hartree,N,L_nm
U0=0,6.20000000e-01,3.39752420e-01,4.80726241e-06,9.19874425e-02,3.09419534e-01,3.09419534e-01,6.18839068e-01,True,1,401,4000.0000
base,6.20000000e-01,3.39564133e-01,4.57058642e-06,9.19730970e-02,3.09357122e-01,3.09357122e-01,6.18714243e-01,True,54,401,4000.0000
U0=0.09 meV,6.20000000e-01,3.39379289e-01,4.33562589e-06,9.19591133e-02,3.09303339e-01,3.09303339e-01,6.18606678e-01,True,54,401,4000.0000
