etiqueta,Gamma_top_meV,Gamma_c_meV,min_abs_E_meV,gap_excitado_meV,peso_borde_izq,peso_borde_der,peso_bordes,convergido_Hartree,iteraciones_Hartree,N,L_nm
sigma_b=25 nm,6.20000000e-01,3.39619551e-01,4.71781681e-06,9.19803432e-02,3.09003581e-01,3.09003581e-01,6.18007161e-01,True,54,401,4000.0000
base,6.20000000e-01,3.39564133e-01,4.57058642e-06,9.19730970e-02,3.09357122e-01,3.09357122e-01,6.18714243e-01,True,54,401,4000.0000
sigma_b=110 nm,6.20000000e-01,3.39463703e-01,4.39355884e-06,9.19658399e-02,3.09288266e-01,3.09288266e-01,6.18576532e-01,True,54,401,4000.0000
