etiqueta,Gamma_top_meV,Gamma_c_meV,min_abs_E_meV,gap_excitado_meV,peso_borde_izq,peso_borde_der,peso_bordes,convergido_Hartree,iteraciones_Hartree,N,L_nm
Vb=0,6.20000000e-01,3.39680672e-01,4.97553817e-06,9.19913154e-02,3.08471797e-01,3.08471797e-01,6.16943593e-01,True,54,401,4000.0000
base,6.20000000e-01,3.39564133e-01,4.57058642e-06,9.19730970e-02,3.09357122e-01,3.09357122e-01,6.18714243e-01,True,54,401,4000.0000
Vb=0.018 meV,6.20000000e-01,3.39331480e-01,3.75482201e-06,9.19371280e-02,3.11152391e-01,3.11152391e-01,6.22304783e-01,True,54,401,4000.0000
