etiqueta,Gamma_top_meV,Gamma_c_meV,min_abs_E_meV,gap_excitado_meV,peso_borde_izq,peso_borde_der,peso_bordes,convergido_Hartree,iteraciones_Hartree,N,L_nm
m*=0.010,6.20000000e-01,3.39564956e-01,5.15581619e-05,8.25729195e-02,2.78091472e-01,2.78091472e-01,5.56182944e-01,True,54,401,4000.0000
base,6.20000000e-01,3.39564133e-01,4.57058642e-06,9.19730970e-02,3.09357122e-01,3.09357122e-01,6.18714243e-01,True,54,401,4000.0000
m*=0.020,6.20000000e-01,3.39568631e-01,3.12595318e-07,1.02757804e-01,3.65146493e-01,3.65146492e-01,7.30292985e-01,True,54,401,4000.0000
