etiqueta,Gamma_top_meV,Gamma_c_meV,min_abs_E_meV,gap_excitado_meV,peso_borde_izq,peso_borde_der,peso_bordes,convergido_Hartree,iteraciones_Hartree,N,L_nm
xb=35 nm,6.20000000e-01,3.39620156e-01,4.67643880e-06,9.19787416e-02,3.09039333e-01,3.09039332e-01,6.18078665e-01,True,54,401,4000.0000
base,6.20000000e-01,3.39564133e-01,4.57058642e-06,9.19730970e-02,3.09357122e-01,3.09357122e-01,6.18714243e-01,True,54,401,4000.0000
xb=150 nm,6.20000000e-01,3.39491972e-01,4.61993359e-06,9.19757433e-02,3.08885229e-01,3.08885229e-01,6.17770458e-01,True,54,401,4000.0000
